frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
114,1.0,[3.680320730278595 127.75912148343102 479.87998684320803 550.1209569290444],[161.2292938232422 434.53778076171875 335.3763732910156 493.5633544921875],0.7846740484237671,151NAl37,None
210,1.0,[2.8083661174422616 128.08078984044096 479.30983899455 548.2997025950865],[161.4208984375 435.7386779785156 338.7022399902344 496.4327087402344],0.771790087223053,514NAh37,None
318,1.0,[3.172526324264794 129.74141905626186 479.518167451771 552.2274073369498],[162.6781463623047 437.0228576660156 338.2784729003906 498.0445251464844],0.7686558365821838,51NA437,None
378,1.0,[1.3508664253322138 128.90644946932022 479.6630318648582 553.7048946676381],[160.51170349121094 438.2157287597656 338.6776428222656 497.56201171875],0.76002436876297,151NAl37,None
