frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
60,1.0,[2.23951839484576 223.13436100933828 448.1940419856893 596.2379380114157],[127.74751281738281 487.9465637207031 298.7663879394531 544.4727172851562],0.7708768844604492,33AKA118,None
126,1.0,[1.572500503479631 222.942476915946 448.3088240215711 597.666575359112],[126.28390502929688 488.6910400390625 297.8026123046875 544.979736328125],0.7611200213432312,33AKAT18,None
252,1.0,[8.458125172860065 220.48078079978953 454.9300796675003 597.377653184647],[134.53125 487.8080139160156 306.6695251464844 541.2986450195312],0.7664753198623657,33AKA118,None
312,1.0,[11.488918366922235 223.04033519150505 457.7791795389491 597.9540977398008],[138.38719177246094 490.8644714355469 310.8662414550781 542.7544555664062],0.7675619721412659,33AKAT18,None
