frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1.0,[0.45708608495692715 33.9879106588013 1071.503914355262 1262.4541117402478],[309.0177307128906 1017.8580322265625 745.6820068359375 1137.5712890625],0.726919412612915,60NB401,None
30,1.0,[1.4966249741339652 31.182388213305217 1067.812147967506 1253.409386767034],[303.2915954589844 1012.015869140625 742.2017822265625 1138.6842041015625],0.7259145379066467,60NB401,None
31,1.0,[1.3199443561069302 31.962936019943527 1067.593642580257 1254.451761546215],[296.8742980957031 1013.75341796875 740.7514038085938 1139.8406982421875],0.7310699820518494,60NB401,None
34,1.0,[1.6768024208807901 32.48703258436751 1068.2411965205179 1254.5805367246862],[300.0727844238281 1014.1611328125 740.8844604492188 1139.3218994140625],0.7213912606239319,60NB401,None
42,1.0,[1.5366714411682096 34.51361191273406 1067.7318082271706 1256.4534312153232],[300.81414794921875 1014.9554443359375 738.2291259765625 1139.145263671875],0.7216973900794983,60NB401,None
43,1.0,[1.4791191971654598 35.023396276467906 1067.8080360223498 1257.0030948002645],[301.4103698730469 1014.5147094726562 738.5682373046875 1139.69287109375],0.7222669124603271,60NB401,None
44,1.0,[1.2167618380671001 35.50192818541825 1067.4074943631813 1256.2592635492624],[306.745849609375 1014.3695068359375 743.0206298828125 1139.8499755859375],0.7219063639640808,60NB401,None
48,1.0,[1.2436597628163781 44.94554853996374 1066.4985250847606 1260.6136409777487],[305.8918762207031 1028.233642578125 742.2672729492188 1149.0140380859375],0.7623404264450073,60NB401,None
52,1.0,[0.6042402391418591 58.48777611266564 1066.6055337641328 1275.3422322186777],[306.77801513671875 1035.0281982421875 746.4014282226562 1147.85595703125],0.7320560216903687,60NB401,None
55,1.0,[2.0225506357878658 69.40570605977769 1069.0731072039844 1277.9911832183377],[309.07745361328125 1041.4256591796875 755.110107421875 1159.978759765625],0.7229371070861816,60NB401,None
68,1.0,[0.39792551267407816 107.91790187577067 1076.0956233920679 1303.4763312089958],[317.6513671875 1052.142578125 758.9192504882812 1179.2939453125],0.7567462921142578,60NB401,None
70,1.0,[0.45470276019545963 109.79574250541987 1076.2460678165953 1300.7248927226694],[323.3039245605469 1053.377685546875 764.8001098632812 1178.353759765625],0.7506508827209473,60NB401,None
90,1.0,[4.662601210597586 193.53707654692937 1072.5769156129843 1343.8547883308433],[314.4180908203125 1102.8712158203125 757.127197265625 1227.6121826171875],0.7427680492401123,60NB401,None
