frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1.0,[20.14763716417491 508.81551929029933 998.8583320491118 1310.9893719843362],[327.5032653808594 1083.444580078125 700.3145751953125 1215.2666015625],0.7822617888450623,06BZ4041,None
2,1.0,[19.446832039722267 508.86342404534406 998.1488803636266 1311.56422524763],[328.2690124511719 1084.4739990234375 701.9649047851562 1215.708984375],0.7850518822669983,06BZ4041,None
4,1.0,[17.894324922241992 509.20327660176946 994.9341143001097 1310.120069771095],[319.3116149902344 1085.71435546875 699.8751831054688 1219.779052734375],0.7850776314735413,06Bz4041,None
6,1.0,[18.806934148888445 510.7444000019894 992.3597336353516 1309.5402334884272],[318.093994140625 1087.25439453125 698.34326171875 1220.763916015625],0.7800154685974121,06BZ4041,None
11,1.0,[18.766065735553923 513.1996134943964 989.9573753528291 1312.2536348741605],[319.9524841308594 1088.2847900390625 695.5401611328125 1219.363037109375],0.7682520151138306,06Bz4041,None
12,1.0,[19.023301603238565 513.6058583290594 989.7366835829877 1313.0642794166936],[319.82501220703125 1090.915771484375 695.8290405273438 1217.3204345703125],0.7656543254852295,06BZ4041,None
13,1.0,[18.520096547986782 513.1465945399907 990.4481591088554 1312.319813911393],[319.4790344238281 1092.0225830078125 697.7037963867188 1220.417724609375],0.7695825099945068,06Bz4041,None
14,1.0,[17.717831297664702 513.5216814987625 990.8696276477806 1312.6551673658316],[319.0250244140625 1092.4190673828125 697.9271850585938 1220.3438720703125],0.7713924050331116,06Bz4041,None
15,1.0,[18.358680800679338 514.8909578424375 990.7015728017341 1314.104000018081],[316.4464111328125 1091.708251953125 697.3674926757812 1224.2955322265625],0.7948575019836426,06Bz4041,None
21,1.0,[17.38045586293174 519.879754999781 991.8897814971981 1318.4825844472016],[320.3503112792969 1097.8721923828125 695.899658203125 1230.389404296875],0.8029924631118774,06BZ4041,None
22,1.0,[16.79927927619906 521.2232686594443 991.7885371772358 1318.9599514704953],[317.1067199707031 1098.1754150390625 695.7971801757812 1231.70068359375],0.8017597794532776,06BZ4041,None
24,1.0,[16.52885552314325 523.8506079910586 992.9514463679659 1319.6702888763107],[325.8564147949219 1102.9683837890625 691.8226318359375 1226.8798828125],0.7805148363113403,06BZ4041,None
25,1.0,[16.078494220316884 525.7606585109538 992.7146493668545 1320.5420547060962],[326.0021667480469 1103.264404296875 691.4385375976562 1227.2828369140625],0.7864542603492737,06BZ4041,None
27,1.0,[15.883277829449867 528.6738442149438 993.1382091437422 1322.3627694029847],[324.3527526855469 1101.3758544921875 692.0177001953125 1227.6669921875],0.7857115864753723,06BZ4041,None
29,1.0,[15.99726302801929 530.4982436038665 994.0277693794951 1324.6196831591064],[324.2756042480469 1101.7713623046875 690.2976684570312 1231.724853515625],0.7861967086791992,06BZ4041,None
30,1.0,[16.357787906899375 531.1055776966901 994.0987416231137 1324.7937102922938],[326.0212097167969 1103.406005859375 690.3041381835938 1231.705322265625],0.7886719107627869,06BZ4041,None
31,1.0,[16.364813901282105 531.1868714144199 993.932502319586 1324.7610316130008],[325.87677001953125 1103.5677490234375 691.0303344726562 1231.493408203125],0.7880755662918091,06BZ4041,None
32,1.0,[16.5160262488925 531.4309473563237 993.979766300813 1325.1162608391933],[327.1473083496094 1104.61572265625 691.720703125 1230.84423828125],0.781195878982544,06BZ4041,None
