frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
7,1.0,[1.4484670085868743 331.2112318055992 1021.9142411810385 1254.160197332337],[312.6779479980469 1045.4345703125 742.1429443359375 1184.2589111328125],0.740462601184845,06Zav09,None
39,1.0,[1.4752699648659586 330.67075124943244 1021.8009801004537 1253.903056650886],[314.99908447265625 1043.6441650390625 744.4808349609375 1183.3861083984375],0.7448462843894958,06Zav09,None
47,1.0,[1.7173277948458576 327.86462848899174 1022.4468601114593 1252.3982862172502],[318.99884033203125 1044.4910888671875 745.8860473632812 1179.1951904296875],0.7287017107009888,06Zav09,None
85,1.0,[1.3739542391254531 329.380511806885 1024.4256358838393 1252.4903230413006],[318.46673583984375 1044.294921875 744.4921875 1183.5546875],0.7477782368659973,06Zzav09,None
96,1.0,[2.0187969241421797 327.70402309878875 1025.9901629234898 1252.675167352486],[318.8086853027344 1044.8631591796875 740.5177612304688 1184.168701171875],0.7541876435279846,06zav09,None
