frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
10,1.0,[19.408374614866943 513.4001756143061 1020.2659796882349 1355.6645236274094],[301.11712646484375 1108.7666015625 691.5573120117188 1229.6015625],0.7525709271430969,33AKA118,None
27,1.0,[15.181869184561208 506.4931637180918 1014.1657076995036 1339.785345230853],[297.0238952636719 1101.6783447265625 679.728759765625 1222.85302734375],0.7573933005332947,33AKA118,None
43,1.0,[9.377966747877053 502.28583865943796 1009.0732484047155 1341.9052636896229],[284.8265075683594 1098.449462890625 679.2660522460938 1227.109619140625],0.7637753486633301,33AKA118,None
44,1.0,[9.484169075934915 501.9171604433211 1009.4732623911681 1341.091374046136],[284.275146484375 1098.369140625 679.01611328125 1227.3812255859375],0.7625142335891724,33AKA118,None
63,1.0,[4.145434645269802 502.68608635077925 1007.0351679344235 1342.5923142648983],[283.1581115722656 1097.232177734375 670.0374755859375 1226.053466796875],0.7686744928359985,33AKA116,None
85,1.0,[2.8025956606916225 499.882907296128 1004.6195915825966 1342.4215625710387],[278.45233154296875 1097.058837890625 671.6470336914062 1220.7967529296875],0.7639594674110413,33AKA118,None
94,1.0,[2.65449441763883 501.2131418020674 1004.4261189541448 1343.3936477041125],[276.05255126953125 1099.046875 669.9718017578125 1222.2288818359375],0.7656229734420776,33AKA118,None
95,1.0,[2.7884813692874104 501.3308533819982 1004.417849977658 1343.6429443025058],[276.09893798828125 1099.8585205078125 669.7332153320312 1222.033447265625],0.7644579410552979,33AKA118,None
