frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
13,1.0,[18.578126584323286 512.2862598304304 1018.8646331866765 1353.4678346484275],[293.5179748535156 1106.8236083984375 686.55126953125 1228.69384765625],0.7449285984039307,K33AKATi,None
14,1.0,[18.319111509363097 511.74748527857236 1018.2474644222422 1352.8421558542911],[292.4304504394531 1105.6944580078125 686.9598388671875 1229.7052001953125],0.745861828327179,M33AKA18,None
15,1.0,[18.222089689347115 511.22239326382044 1017.7970524353134 1351.8407812585333],[292.16387939453125 1104.060302734375 686.1224365234375 1229.400146484375],0.7502712607383728,M33AKATiB,None
16,1.0,[18.024736222546437 511.1200007370204 1017.2736707453967 1351.469026369265],[291.6902160644531 1103.3131103515625 685.1492309570312 1229.22265625],0.7519282698631287,K33AKAT6,None
17,1.0,[17.71623930351825 510.87530385501776 1016.9520023620246 1351.1222750701374],[291.5343322753906 1102.730712890625 685.701416015625 1229.7081298828125],0.7560926079750061,M33AKATi,None
18,1.0,[17.30646161718795 510.35555367946614 1016.5893410472934 1350.2008508066488],[294.36126708984375 1104.43212890625 683.9974365234375 1226.3602294921875],0.7465100288391113,33AKATiE,None
19,1.0,[17.292387116691657 509.15383897531683 1016.3254520925251 1348.1815120559945],[294.917236328125 1104.9599609375 683.7559814453125 1225.0093994140625],0.7505170702934265,33AKATiB,None
20,1.0,[17.049229982516977 508.2763158777271 1015.809094570306 1346.286575271639],[296.4738464355469 1104.3992919921875 681.8632202148438 1224.8001708984375],0.7551978826522827,33AKA8,None
21,1.0,[16.727084025647173 507.94999051675853 1015.2290090879687 1345.3062290648286],[297.1432800292969 1104.0794677734375 681.2274169921875 1224.59619140625],0.7574175000190735,33AKA118,None
22,1.0,[16.683363774361055 507.60965447189346 1015.2211628324095 1344.2744351315775],[297.3082580566406 1103.675048828125 680.8180541992188 1224.4027099609375],0.7567805051803589,33AKAT18,None
23,1.0,[16.569412079475114 507.1572367505328 1014.8795856617071 1343.1340030818724],[295.82977294921875 1103.0533447265625 680.625244140625 1224.6641845703125],0.7547557950019836,33AKATiB,None
24,1.0,[16.181742645352358 506.91860199818046 1014.6493916097313 1342.2553764450097],[294.6339111328125 1101.7603759765625 680.3408203125 1225.517578125],0.7550600171089172,ENTOM,None
25,1.0,[16.33766317039965 506.32725218779126 1015.0259644189761 1340.8858165051388],[295.2514343261719 1101.2215576171875 679.7489013671875 1224.7464599609375],0.7553775310516357,33AKATi,None
26,1.0,[16.046254380474068 507.1341086782185 1014.883474493884 1340.0075194589358],[296.5176696777344 1101.6292724609375 678.661376953125 1223.0164794921875],0.7551344633102417,33AKATi8,None
27,1.0,[15.181869184561208 506.4931637180918 1014.1657076995036 1339.785345230853],[297.0238952636719 1101.6783447265625 679.728759765625 1222.85302734375],0.7573933005332947,33AKA118,None
28,1.0,[14.584172960549722 506.1029703657921 1013.7708406136767 1339.656774720679],[297.7833251953125 1101.82177734375 679.30078125 1223.5638427734375],0.7597311735153198,33AKAT1,None
29,1.0,[13.91757347147535 505.7270628063352 1013.2830383331734 1339.4836542875737],[297.7552185058594 1101.91162109375 679.9700927734375 1225.1295166015625],0.7628808617591858,G33AKATi,None
30,1.0,[13.326363652078783 505.514136443925 1012.8919952868812 1339.4348742781558],[296.266845703125 1101.40869140625 679.4218139648438 1224.540771484375],0.7600956559181213,G33AKAT18,None
