frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[1.099090576171875 32.723785400390625 1073.3250732421875 1259.193603515625],[312.3559265136719 1016.452392578125 751.8702392578125 1138.8492431640625],0.7366012334823608,ARRp401,None
1,1.0,[0.45708608495692715 33.9879106588013 1071.503914355262 1262.4541117402478],[309.0177307128906 1017.8580322265625 745.6820068359375 1137.5712890625],0.726919412612915,ERE4017,None
2,1.0,[1.2306528110657382 34.257067124171044 1070.7650651061708 1263.4319095693631],[310.79278564453125 1019.12109375 743.548828125 1137.205078125],0.7297731637954712,A401,None
3,1.0,[1.1145634893699707 33.44812861592379 1069.8788944009962 1263.6709553309838],[308.7141418457031 1018.2786254882812 742.8865356445312 1136.8143310546875],0.734605073928833,ARRRs401,None
4,1.0,[1.58578756669408 32.33049674360382 1069.2788796304508 1262.1667191202664],[306.0340576171875 1017.3387451171875 743.6980590820312 1137.4263916015625],0.7331146001815796,AERE401,None
5,1.0,[1.2784729549582607 33.39000322775814 1068.9304266413517 1263.4094500839105],[304.63739013671875 1016.9490966796875 743.1672973632812 1139.0592041015625],0.7345007061958313,AERs401,None
6,1.0,[1.2226306553479844 34.48926830655944 1069.2308560720364 1266.6388145672222],[305.50799560546875 1017.0230712890625 742.8984375 1139.669677734375],0.7387001514434814,e01,None
7,1.0,[1.741030594085828 32.261342546196715 1069.3078038684134 1261.9605818358232],[306.8127136230469 1017.9871215820312 742.7360229492188 1137.34033203125],0.7359973788261414,ARRE401,None
8,1.0,[1.2141011136189945 31.1242765385781 1068.878000570572 1259.7745759914505],[308.1781921386719 1017.5159912109375 744.2479248046875 1137.357177734375],0.7292598485946655,As401,None
9,1.0,[1.1008632045297873 31.038708148194928 1068.3741485778955 1257.9125944562513],[307.3719177246094 1016.934814453125 744.882080078125 1137.5181884765625],0.7266467213630676,eo1,None
10,1.0,[1.0647729909352392 31.88298274242186 1068.4921308804169 1259.3916484261817],[308.73638916015625 1017.1071166992188 744.17529296875 1137.1007080078125],0.7296326756477356,AE401,None
11,1.0,[1.6020049105881071 32.07506644127125 1068.682071473594 1258.3942911316228],[306.72509765625 1016.3778076171875 742.2522583007812 1137.7987060546875],0.7258109450340271,EERRE401,None
12,1.0,[1.7142293856384185 32.28444519729044 1068.5759222863653 1257.1200553119324],[304.78619384765625 1016.3007202148438 743.246337890625 1139.557373046875],0.7391478419303894,e401,None
13,1.0,[1.6002210616352386 32.762607325900944 1068.4991147886135 1256.8237475422695],[305.186279296875 1016.4226684570312 742.4961547851562 1139.2884521484375],0.7387933135032654,BAD,None
14,1.0,[1.6510402613793076 32.84798156511897 1068.5510478865685 1256.4270172683198],[306.67840576171875 1017.4097900390625 743.2474365234375 1137.551513671875],0.7355102896690369,SN,None
15,1.0,[1.5323863881340003 32.97264880977923 1068.695920656366 1256.8311938048003],[308.3624267578125 1017.981689453125 743.4581909179688 1136.772216796875],0.7317521572113037,KNEL01,None
16,1.0,[1.3412017903273181 33.4362288482572 1068.787031944757 1257.7183912108312],[308.5110168457031 1018.2152709960938 743.1614379882812 1136.462890625],0.7297383546829224,ARRRE401,None
17,1.0,[1.3136769200298204 32.975558930223315 1068.734107158842 1257.1393125168242],[307.95538330078125 1017.4006958007812 743.1798706054688 1137.179443359375],0.7309985756874084,EERE401,None
18,1.0,[0.9646405769934745 33.18901564003636 1068.4768969679371 1258.002864553605],[308.1587219238281 1016.6663818359375 743.9899291992188 1137.125],0.7267029881477356,ARRRE01,None
19,1.0,[0.9242971670039424 33.265872954304655 1068.5771065329493 1258.9184038366725],[308.2960510253906 1016.5481567382812 744.8086547851562 1137.4466552734375],0.7322137355804443,e01,None
20,1.0,[0.7065216766269486 33.41674988195723 1068.3223853277118 1260.164464539024],[309.17633056640625 1017.0825805664062 744.6553344726562 1136.9100341796875],0.7347281575202942,HDN,None
21,1.0,[0.9857329317541144 33.82285994924064 1068.265747152027 1260.1055303117193],[306.9753723144531 1016.8602905273438 743.1617431640625 1137.948974609375],0.7314802408218384,Ae01,None
22,1.0,[0.7793755134256344 34.8435385860771 1067.994868858109 1261.5922731908963],[305.66693115234375 1016.973876953125 743.3086547851562 1140.504150390625],0.7392422556877136,A401,None
23,1.0,[0.6589575512385863 34.76444403977837 1067.8004527415524 1262.079607092161],[305.2557678222656 1016.017822265625 743.2326049804688 1139.249267578125],0.735090434551239,ARRs401,None
24,1.0,[0.6883892227956494 32.672581718093625 1067.9000329319053 1259.7416044396798],[307.97369384765625 1017.1068115234375 744.1001586914062 1137.439697265625],0.7291195392608643,AB401,None
25,1.0,[0.7478235827361459 32.00149679295123 1067.8941990572637 1258.4463745712865],[307.291259765625 1015.8964233398438 743.3458251953125 1138.192138671875],0.7300561666488647,A401,None
26,1.0,[1.0137705059548807 31.743095355089736 1067.9579213865995 1257.0569283099014],[307.5867919921875 1015.8392944335938 742.6983032226562 1137.9193115234375],0.7300068736076355,A401,None
27,1.0,[1.1117973100487006 31.775724842138857 1067.9204427650157 1256.1915774823378],[308.0246887207031 1016.1668701171875 742.374755859375 1137.444580078125],0.7278941869735718,As01,None
28,1.0,[1.4365092207432326 31.891832279139066 1068.279555309743 1255.9783900300017],[307.8224182128906 1016.0864868164062 742.4578857421875 1137.530029296875],0.7291386723518372,B401,None
29,1.0,[1.5729813536669326 31.828860380356787 1068.3091418606155 1255.7639002753199],[304.4945068359375 1014.2420654296875 742.597412109375 1138.2579345703125],0.7301633954048157,BB401,None
30,1.0,[1.4966249741339652 31.182388213305217 1067.812147967506 1253.409386767034],[303.2915954589844 1012.015869140625 742.2017822265625 1138.6842041015625],0.7259145379066467,AERRE01,None
31,1.0,[1.3199443561069302 31.962936019943527 1067.593642580257 1254.451761546215],[296.8742980957031 1013.75341796875 740.7514038085938 1139.8406982421875],0.7310699820518494,e401,None
32,1.0,[1.2898127928638132 33.55385930968089 1067.5551780958972 1256.0495296013896],[307.4063415527344 1016.2516479492188 741.7538452148438 1137.374755859375],0.7291101217269897,NB01,None
33,1.0,[1.6643907659190518 33.81049586849815 1067.8948642397274 1256.0144606582135],[309.6459655761719 1017.7584228515625 743.8679809570312 1136.155517578125],0.7260125875473022,BB401,None
34,1.0,[1.6768024208807901 32.48703258436751 1068.2411965205179 1254.5805367246862],[300.0727844238281 1014.1611328125 740.8844604492188 1139.3218994140625],0.7213912606239319,AM6401,None
35,1.0,[1.470405565611145 31.768790460817513 1068.2801929065108 1254.469757365147],[306.3554992675781 1011.6685180664062 740.84130859375 1139.4984130859375],0.715395450592041,SEN,None
36,1.0,[1.2012704513775816 31.471472784574303 1068.1370930460635 1254.2983381794693],[306.6276550292969 1011.192626953125 740.3358764648438 1139.1478271484375],0.7215491533279419,SA,None
37,1.0,[1.4156508719502199 32.25966798159743 1067.9480442736804 1255.217159362652],[301.48809814453125 1008.75244140625 742.6345825195312 1137.016845703125],0.7372993230819702,BERRE4017,None
38,1.0,[1.6693153295229877 32.457573305405845 1067.9862462714495 1254.76138885715],[301.05340576171875 1009.44140625 741.6987915039062 1137.2530517578125],0.7447510361671448,AMB401,None
39,1.0,[1.3863642148706958 32.63993898544982 1067.556465038239 1254.2449122698997],[302.4444274902344 1008.513671875 742.616455078125 1137.06005859375],0.7296617031097412,BB4017,None
40,1.0,[1.5995329474775417 32.3656250625213 1067.5299704669064 1253.2971360398615],[306.8429260253906 1011.4764404296875 740.6231689453125 1139.4598388671875],0.7203530669212341,BERNB001,None
41,1.0,[1.4486482992383571 33.37332131731125 1067.5160606951276 1254.91638436818],[308.32763671875 1013.9373779296875 739.7052612304688 1138.0902099609375],0.7174975275993347,BB01,None
42,1.0,[1.5366714411682096 34.51361191273406 1067.7318082271706 1256.4534312153232],[300.81414794921875 1014.9554443359375 738.2291259765625 1139.145263671875],0.7216973900794983,BBE01,None
43,1.0,[1.4791191971654598 35.023396276467906 1067.8080360223498 1257.0030948002645],[301.4103698730469 1014.5147094726562 738.5682373046875 1139.69287109375],0.7222669124603271,ee401,None
44,1.0,[1.2167618380671001 35.50192818541825 1067.4074943631813 1256.2592635492624],[306.745849609375 1014.3695068359375 743.0206298828125 1139.8499755859375],0.7219063639640808,BERRE01,None
45,1.0,[2.8380278214149257 30.651680630054784 1068.700749848398 1247.7305833507298],[308.113037109375 1020.7424926757812 743.0687255859375 1137.84228515625],0.7580116987228394,BERNB401,None
46,1.0,[3.6218794188056336 29.404390677738547 1069.2401096026783 1245.262223142002],[307.89239501953125 1020.6747436523438 742.5809326171875 1141.5565185546875],0.7511853575706482,BERMB401,None
47,1.0,[3.306545841983848 32.59174579539308 1068.7071999964369 1248.8976663726087],[309.4538269042969 1026.4801025390625 742.102294921875 1143.888427734375],0.7494305372238159,BERNB401,None
48,1.0,[1.2436597628163781 44.94554853996374 1066.4985250847606 1260.6136409777487],[305.8918762207031 1028.233642578125 742.2672729492188 1149.0140380859375],0.7623404264450073,AMB401,None
49,1.0,[0.5461969292193771 51.367414000949566 1065.8479198805762 1267.7397281139722],[308.3196716308594 1030.6669921875 742.8744506835938 1150.430419921875],0.7552155256271362,NB401,None
50,1.0,[0.5302116647918638 53.50271640316237 1065.7604615600744 1271.249156165069],[310.0107421875 1032.043701171875 741.989501953125 1149.518310546875],0.7467566728591919,BARRB401,None
51,1.0,[0.3992252217908572 56.561389552880655 1065.863119861515 1274.676683560809],[311.219970703125 1032.9876708984375 743.4810791015625 1149.0234375],0.7371230721473694,BB401,None
52,1.0,[0.6042402391418591 58.48777611266564 1066.6055337641328 1275.3422322186777],[306.77801513671875 1035.0281982421875 746.4014282226562 1147.85595703125],0.7320560216903687,AERRE01,None
53,1.0,[0.6715148496919028 61.8201882507301 1067.121335766475 1276.1043269994846],[306.75299072265625 1036.900390625 749.0790405273438 1152.0260009765625],0.7334085702896118,ARRKsL01,None
54,1.0,[1.3533283341847664 65.28002299391267 1068.2318325488336 1277.2006263904732],[309.2603454589844 1040.867431640625 752.4234008789062 1155.934814453125],0.7303509712219238,AERR6401,None
55,1.0,[2.0225506357878658 69.40570605977769 1069.0731072039844 1277.9911832183377],[309.07745361328125 1041.4256591796875 755.110107421875 1159.978759765625],0.7229371070861816,AERKE401,None
56,1.0,[2.5645197746709982 73.03949324440873 1070.6970148564849 1279.3849800669898],[309.48358154296875 1044.849365234375 754.4718017578125 1159.890869140625],0.7147669196128845,BNEL01,None
57,1.0,[3.0279474511180524 75.83637512749794 1071.806604557716 1280.634423534951],[310.6639709472656 1045.4473876953125 754.4197998046875 1159.8458251953125],0.7157535552978516,A401,None
