frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[1.468414306640625 327.38616943359375 1023.0665283203125 1251.4815673828125],[316.1741638183594 1045.0069580078125 741.9962768554688 1174.3819580078125],0.7378947734832764,ag,None
1,1.0,[1.7528518467476601 331.90089580586744 1021.6008122938813 1253.2594863632153],[318.3966064453125 1044.54443359375 741.4406127929688 1174.3743896484375],0.7295606732368469,G06ZAUO9,None
2,1.0,[1.5473784833884565 332.254469293237 1021.444492589347 1253.861866165451],[311.67041015625 1045.1231689453125 741.5158081054688 1185.5126953125],0.7420732378959656,fs,None
3,1.0,[1.492927281973266 332.8495900131939 1021.5800319146196 1254.8385097836263],[310.6885070800781 1043.9765625 741.7852172851562 1187.7742919921875],0.7497430443763733,906ZAUO9,None
4,1.0,[1.5837464345734134 332.88227766908506 1021.6993480568556 1254.8730319218635],[316.5705871582031 1045.83251953125 739.8034057617188 1185.6053466796875],0.7470778822898865,OSZAv09,None
5,1.0,[1.5337583284704124 331.9642683215652 1022.0941057799308 1254.770260911287],[315.08349609375 1043.1295166015625 743.3867797851562 1189.2769775390625],0.752922773361206,OSZAULO9,None
6,1.0,[1.5922229788134814 331.6462186603347 1022.2301913815202 1254.612639692115],[316.156494140625 1044.8914794921875 744.4324951171875 1188.0594482421875],0.74744713306427,OSZaLO9,None
7,1.0,[1.4484670085868743 331.2112318055992 1021.9142411810385 1254.160197332337],[312.6779479980469 1045.4345703125 742.1429443359375 1184.2589111328125],0.740462601184845,06ZaLO9l,None
8,1.0,[1.0482541802579135 332.1387606433039 1021.4462730895958 1254.7649537791942],[308.31060791015625 1042.7183837890625 741.8051147460938 1186.454345703125],0.7515028715133667,G06ZAVO9,None
9,1.0,[1.0983394002866476 332.09511187062856 1021.6286889758005 1255.049356249473],[307.78509521484375 1042.746826171875 740.9913940429688 1187.5946044921875],0.7517282962799072,f,None
10,1.0,[1.3216454710223502 331.31515402383496 1021.917447497683 1254.6868637513148],[316.2740478515625 1045.3521728515625 740.1867065429688 1186.0408935546875],0.7472445964813232,gO6ZAVO9,None
11,1.0,[1.301077396929884 330.62772116898424 1022.0672252244524 1254.0945787538603],[315.756591796875 1043.5458984375 745.4033203125 1188.5576171875],0.7508793473243713,0SZUO9h,None
12,1.0,[1.3347970270598921 330.8871027081763 1021.9571391269699 1253.7618980854315],[316.4572448730469 1044.9248046875 745.9556274414062 1186.212646484375],0.7429338693618774,OSZAvO9l,None
13,1.0,[1.3083138937646481 330.4315391659214 1021.8931544727122 1253.7884042316757],[315.12799072265625 1045.327880859375 742.787841796875 1184.7744140625],0.7417652010917664,06ZAvO9,None
14,1.0,[1.1675457842276842 330.6418791838682 1021.7239757472835 1254.4073554556708],[310.45751953125 1043.7301025390625 741.0289306640625 1186.1490478515625],0.7506198883056641,06ZUO9,None
15,1.0,[1.3825285274926955 331.477213245577 1021.7631451564324 1254.8701344693754],[310.68017578125 1043.495361328125 741.3541870117188 1186.45068359375],0.751014232635498,06ZAULOS,None
16,1.0,[1.543714334022468 332.0223568313802 1021.7256222125693 1254.8715640455127],[317.9674987792969 1046.3076171875 741.9379272460938 1184.8770751953125],0.7442731857299805,G06ZUO9,None
17,1.0,[1.4480278124578376 331.9758537111539 1021.654598468441 1254.5159790416208],[314.97894287109375 1042.5745849609375 744.9307250976562 1188.601318359375],0.7526993155479431,06ZUD9,None
18,1.0,[1.500872594950465 332.4107006972976 1021.6648077326064 1254.6212774013038],[315.49639892578125 1042.8143310546875 744.388916015625 1188.7138671875],0.7523810863494873,OSZUO9,None
19,1.0,[1.6034069722039703 332.90159794335904 1021.5908910584243 1254.336404645437],[316.91510009765625 1044.9346923828125 743.471923828125 1187.1123046875],0.7486799359321594,sf,None
20,1.0,[1.4533929625745259 331.9754712219947 1021.2679322335243 1253.4130514188178],[315.3122863769531 1045.8804931640625 743.408935546875 1183.522705078125],0.7414402365684509,06ZMLO9,None
21,1.0,[1.4203609097222056 331.2785464620076 1021.2925194685592 1252.9388057313915],[316.99237060546875 1046.032470703125 743.9384765625 1183.58642578125],0.7413578033447266,f,None
22,1.0,[1.5605165312674103 332.58602432538527 1021.6424548175671 1253.715218006358],[315.8931579589844 1044.0069580078125 744.166259765625 1186.6593017578125],0.7524253129959106,06ZMO9,None
25,1.0,[1.5353078971372156 331.9476868840502 1021.9248069843798 1253.4499753571097],[318.8041687011719 1045.633544921875 740.1421508789062 1185.2178955078125],0.7520358562469482,GOSZAU09,None
26,1.0,[1.4809373446257155 331.0600707194429 1021.935410361584 1253.023894113188],[317.9813232421875 1044.982177734375 741.8668212890625 1185.8594970703125],0.7517507076263428,gO6ZAVO9k,None
27,1.0,[1.455346751814659 331.55009223407365 1021.9680430343693 1253.3874369810433],[316.3319091796875 1043.1024169921875 742.866943359375 1188.27685546875],0.7548460960388184,OSZUO9,None
28,1.0,[1.423114968854975 330.67001416546634 1022.0325589108713 1253.5645220872184],[315.3587951660156 1042.8809814453125 741.6478881835938 1188.53759765625],0.7557440400123596,gO6ZAU09,None
29,1.0,[1.4107998693790478 331.49667586965535 1022.0336334727126 1254.081060290815],[314.3280944824219 1042.1632080078125 743.8079223632812 1189.3206787109375],0.7546016573905945,OBEATUMDD,None
30,1.0,[1.3389693855366431 331.1378732676774 1021.9162371152629 1253.6667432255365],[314.1402893066406 1042.27001953125 746.2005615234375 1189.1016845703125],0.7537517547607422,OBT,None
31,1.0,[1.2164816246116175 331.0045672166475 1021.6769010972166 1253.4770511785428],[315.2607421875 1043.6671142578125 745.4280395507812 1185.7877197265625],0.7479684948921204,06ZAVO9,None
32,1.0,[1.198644856759472 329.29592642316595 1021.5339917974052 1252.7177674319832],[316.6872253417969 1043.81982421875 744.8531494140625 1185.88671875],0.7512844800949097,O6ZAUO9l,None
33,1.0,[1.2403119115369918 330.69194929401107 1021.4638249212322 1253.5658594758672],[317.5185852050781 1043.7491455078125 742.8561401367188 1186.7867431640625],0.7527323365211487,532,None
34,1.0,[1.3095958684659763 330.41080046023103 1021.5455489990813 1253.780155905521],[316.8794860839844 1042.0289306640625 741.8984985351562 1186.7232666015625],0.7521939277648926,OSZa09,None
35,1.0,[1.2702693548532125 329.44200030895416 1021.59483724632 1253.595139510825],[317.2535705566406 1042.152587890625 742.4454345703125 1184.64404296875],0.748376727104187,v,None
36,1.0,[1.29895109814521 329.9881613571121 1021.6989401488677 1254.1637272280518],[317.0877685546875 1042.771728515625 742.620361328125 1185.500244140625],0.7500844597816467,O6ZAV09,None
