frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[12.54290771484375 287.2521057128906 1077.18017578125 1239.8009033203125],[368.592041015625 983.1348266601562 767.44775390625 1111.6282958984375],0.7674986124038696,STONA437,None
1,1.0,[11.691274802615908 288.68059262749097 1073.4922230907323 1233.5939325474017],[363.8224182128906 979.8087158203125 763.9217529296875 1110.2205810546875],0.7842945456504822,51NAL37,None
2,1.0,[12.128646329091339 289.68715522709925 1075.6014981284857 1236.6851974405035],[363.8909912109375 979.5069580078125 763.761474609375 1111.1229248046875],0.778126060962677,STONA17,None
3,1.0,[12.04713335516999 289.8203696633879 1076.4348578340332 1238.6576878744952],[362.10626220703125 980.552490234375 764.1121826171875 1111.0203857421875],0.7806554436683655,STONA37,None
4,1.0,[12.020359499154665 289.32256125303604 1076.8467189970113 1239.1255902426742],[362.8016052246094 979.815673828125 764.4790649414062 1110.626708984375],0.7840047478675842,STONA437,None
5,1.0,[12.689111973947547 289.37754302670703 1077.0567449071457 1239.7467121617015],[365.189208984375 981.1976318359375 764.0718383789062 1108.730712890625],0.7813025712966919,STONA37,None
6,1.0,[12.301641922989461 288.900120995723 1076.8509485170507 1239.7417055841674],[364.5677490234375 980.1443481445312 764.07275390625 1108.5872802734375],0.7836498022079468,STNA437,None
7,1.0,[12.109485911785441 288.6070065974344 1076.8036364700486 1240.2590397875597],[364.1725158691406 979.7426147460938 763.9503173828125 1109.255615234375],0.783524215221405,51NALI37,None
8,1.0,[11.54455651638716 288.13132947820844 1076.640644308437 1239.9884371289304],[364.5165710449219 979.9119873046875 763.6343994140625 1109.33642578125],0.7851908802986145,STONA437,None
9,1.0,[10.793288163205375 288.65723219288077 1075.2685256540362 1237.6172636132983],[364.2754211425781 980.3509521484375 763.7221069335938 1109.1397705078125],0.782124400138855,STONAVI7,None
10,1.0,[10.965987065187733 289.88990642622235 1075.20978030863 1238.1131191226414],[368.1570739746094 977.9601440429688 761.0499267578125 1112.53564453125],0.7774127721786499,STUNAVI7,None
11,1.0,[10.65424681078889 290.24589532016836 1074.790059880624 1237.2531524244987],[368.19525146484375 977.3963012695312 762.3461303710938 1113.5091552734375],0.7765406966209412,MSTONALIZ,None
12,1.0,[11.630893325144143 290.51157299209575 1075.9156653769894 1238.8349638095192],[365.67022705078125 979.9443969726562 762.67822265625 1112.59423828125],0.7739242911338806,STONAV37,None
13,1.0,[11.725916213438381 288.9458093194265 1076.1929116538204 1238.3076200043702],[365.8216552734375 978.533447265625 761.6722412109375 1110.2225341796875],0.7852806448936462,STUNA177,None
14,1.0,[11.430764259121474 287.23931433840625 1076.2534025093237 1236.8998642476806],[363.69781494140625 977.6804809570312 763.9843139648438 1111.384765625],0.7847580313682556,STNAV37,None
15,1.0,[10.823939929406492 286.89951949023674 1076.146456975082 1236.8165861890832],[362.68450927734375 978.462890625 765.1441040039062 1110.30615234375],0.7825550436973572,STONA137,None
16,1.0,[10.77914457199779 287.7596513628519 1076.2742322313925 1237.8646856256678],[363.3038635253906 976.9041137695312 762.77734375 1110.4288330078125],0.7870548963546753,STONAVI7,None
17,1.0,[9.563964924666607 289.0373262310758 1075.1559743257928 1238.0404778351685],[368.23699951171875 976.7823486328125 761.7568359375 1111.8702392578125],0.784227192401886,KSTONAVI7,None
18,1.0,[10.161562036857958 289.48641794143475 1075.114010291422 1237.2830476726385],[362.9094543457031 978.5772094726562 762.5534057617188 1112.5355224609375],0.7799955010414124,STONA37,None
19,1.0,[11.954031895434582 289.9100633273994 1075.7124256009197 1237.1551674708282],[365.6205139160156 980.2549438476562 762.0147094726562 1108.7105712890625],0.7796106934547424,STNA437,None
20,1.0,[11.722698251698148 288.9021526258079 1075.9816661478533 1237.5710243351105],[365.9577941894531 978.1492309570312 763.0347290039062 1111.365234375],0.7850821018218994,STUNAV37,None
21,1.0,[11.694927094898276 288.458162084596 1076.1372417507266 1237.6539330060373],[364.8750915527344 978.8311767578125 763.5956420898438 1110.444580078125],0.7829277515411377,ST117,None
22,1.0,[11.47934132599164 289.2762251133732 1075.4938210360529 1237.2652507469259],[364.6299133300781 979.4388427734375 762.3367919921875 1110.8115234375],0.7819796204566956,STUNA37,None
23,1.0,[11.189161916439048 289.76115791193155 1075.0765626431325 1236.8295835887563],[363.4717712402344 980.2622680664062 762.26953125 1111.2125244140625],0.7783635258674622,STONA437,None
24,1.0,[11.063648991985247 289.7099310578486 1074.8616252534011 1235.5091306142822],[365.3925476074219 979.53662109375 762.860595703125 1110.732421875],0.7804968953132629,STONA417,None
25,1.0,[10.758012048094997 290.1375027008563 1074.6323779551055 1235.4410468836636],[365.59478759765625 980.1617431640625 762.9585571289062 1109.3431396484375],0.7819146513938904,STONAL37,None
26,1.0,[11.934722717576278 290.2934077934016 1075.0917745170332 1235.071801974547],[365.03375244140625 979.275146484375 763.1364135742188 1109.937744140625],0.7829414010047913,STNAL37,None
27,1.0,[12.582375584867236 290.59973043699176 1075.3071944655235 1235.365415052565],[365.6656494140625 979.346435546875 762.8895874023438 1109.8306884765625],0.7822349071502686,ASTONA37,None
