frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[22.074188232421875 509.29852294921875 1001.0864868164062 1312.2408447265625],[328.7036437988281 1084.106689453125 699.4701538085938 1215.296630859375],0.7787227630615234,06BZ4041,None
1,1.0,[20.14763716417491 508.81551929029933 998.8583320491118 1310.9893719843362],[327.5032653808594 1083.444580078125 700.3145751953125 1215.2666015625],0.7822617888450623,06BZ4041,None
2,1.0,[19.446832039722267 508.86342404534406 998.1488803636266 1311.56422524763],[328.2690124511719 1084.4739990234375 701.9649047851562 1215.708984375],0.7850518822669983,06BZ4041,None
4,1.0,[17.894324922241992 509.20327660176946 994.9341143001097 1310.120069771095],[319.3116149902344 1085.71435546875 699.8751831054688 1219.779052734375],0.7850776314735413,06B74041,None
6,1.0,[18.806934148888445 510.7444000019894 992.3597336353516 1309.5402334884272],[318.093994140625 1087.25439453125 698.34326171875 1220.763916015625],0.7800154685974121,B16BZ4041,None
7,1.0,[18.9395447887685 511.777683128747 989.8921100089774 1310.0362122245797],[317.3850402832031 1088.3466796875 698.8353881835938 1221.022216796875],0.7765964865684509,068Z4091,None
8,1.0,[19.539016759274034 512.5149332726558 989.6471706441814 1311.0322603880295],[315.9177551269531 1087.7725830078125 698.1294555664062 1221.6427001953125],0.7723281383514404,BE06BZ4041,None
9,1.0,[19.775705906646465 513.5367688835988 989.379681036148 1312.2389715658783],[316.3984680175781 1090.0147705078125 696.828369140625 1220.4873046875],0.7666388154029846,BE06BZ4041,None
10,1.0,[20.003323280287475 513.9674679364964 989.2279422839442 1312.7116722988046],[315.850341796875 1089.732421875 697.1610717773438 1220.6468505859375],0.7664751410484314,KE06BZ4041,None
11,1.0,[18.766065735553923 513.1996134943964 989.9573753528291 1312.2536348741605],[319.9524841308594 1088.2847900390625 695.5401611328125 1219.363037109375],0.7682520151138306,06BZ4041,None
12,1.0,[19.023301603238565 513.6058583290594 989.7366835829877 1313.0642794166936],[319.82501220703125 1090.915771484375 695.8290405273438 1217.3204345703125],0.7656543254852295,06BZ4041,None
13,1.0,[18.520096547986782 513.1465945399907 990.4481591088554 1312.319813911393],[319.4790344238281 1092.0225830078125 697.7037963867188 1220.417724609375],0.7695825099945068,06BZ4041,None
14,1.0,[17.717831297664702 513.5216814987625 990.8696276477806 1312.6551673658316],[319.0250244140625 1092.4190673828125 697.9271850585938 1220.3438720703125],0.7713924050331116,06BZ4041j,None
15,1.0,[18.358680800679338 514.8909578424375 990.7015728017341 1314.104000018081],[316.4464111328125 1091.708251953125 697.3674926757812 1224.2955322265625],0.7948575019836426,068Z4041j,None
