frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
13,1.0,[10.229075421687071 544.2120602628456 980.9696756116773 1383.8412268386335],[300.7369079589844 1179.971435546875 635.4129638671875 1274.608154296875],0.7249162793159485,34BAKBT,None
41,1.0,[12.338863184897036 536.0180707644727 988.7446596003925 1382.9946387373768],[306.70074462890625 1166.9168701171875 636.003662109375 1264.6600341796875],0.7125983238220215,34BAK801,None
44,1.0,[13.158388100757406 535.0638397929172 990.2277809041686 1382.5462744351657],[306.0968933105469 1167.0250244140625 635.9154052734375 1261.255859375],0.7265294790267944,234BK801,None
45,1.0,[13.496234994820838 534.9954254775779 991.0214908993772 1382.4822567252095],[306.10540771484375 1166.870849609375 635.6956787109375 1260.588134765625],0.7245350480079651,234BK801,None
46,1.0,[13.418402480106636 534.7993044949765 990.9424406804728 1382.0414148513323],[306.0995178222656 1166.8798828125 635.8220825195312 1260.2779541015625],0.7243979573249817,34BAK801,None
47,1.0,[13.408943083059626 533.5724218608223 991.0738373054251 1379.261157352857],[306.4906311035156 1166.011962890625 636.0073852539062 1259.8316650390625],0.7287431955337524,234BK801,None
48,1.0,[14.053642191152619 533.083634136841 992.0809921803307 1377.1533300495898],[306.7621765136719 1165.79150390625 637.1653442382812 1259.530517578125],0.727024495601654,234BK801,None
49,1.0,[13.694012207168043 533.2822120102294 991.6146447372902 1377.291942498274],[306.9755859375 1165.8553466796875 638.0819702148438 1258.3170166015625],0.7282776832580566,234BK801,None
51,1.0,[13.995119520844355 533.2564723949258 991.7161669658116 1377.6037336938045],[307.74554443359375 1165.6202392578125 638.9544067382812 1257.558837890625],0.7246054410934448,234BK801,None
53,1.0,[13.781832521167985 532.5115580117531 991.3079968292553 1376.514418013118],[308.7732238769531 1166.297607421875 638.7189331054688 1257.6676025390625],0.7161505222320557,234BK801,None
59,1.0,[14.790515532708866 530.7802592110938 992.2848390253057 1375.2955581561664],[310.27056884765625 1164.47900390625 639.9589233398438 1259.084716796875],0.7077813744544983,134BK801,None
62,1.0,[15.569851736182784 532.7959367732047 993.9562890865202 1379.2471127877843],[309.30059814453125 1164.29150390625 638.210205078125 1256.445556640625],0.7282881140708923,34BAK801,None
68,1.0,[14.496759808154309 531.6908610224316 991.7154446382942 1374.8811364869755],[306.075927734375 1161.169921875 636.8578491210938 1258.4146728515625],0.7551834583282471,234BK801,None
71,1.0,[14.31238540650753 529.2753252596987 991.4618456970038 1370.359062483894],[305.5395202636719 1161.49365234375 634.4404907226562 1258.5906982421875],0.7515167593955994,34BK801,None
72,1.0,[13.832566775439489 528.1617471464277 990.7919076434398 1369.178875313501],[305.5144958496094 1161.739501953125 634.1239624023438 1258.936279296875],0.7500002980232239,234BK801,None
75,1.0,[12.677219649765277 528.3012619415638 988.2993754221698 1368.4806669638156],[305.8587341308594 1161.8555908203125 634.3612670898438 1258.2774658203125],0.7455814480781555,234BK801,None
76,1.0,[12.834896755281306 527.7291823042794 988.503885659433 1367.4498806451031],[305.97930908203125 1161.6409912109375 634.4921264648438 1257.834716796875],0.7447923421859741,34BAK801,None
80,1.0,[11.155834175952407 527.8300645223185 986.4159181471102 1364.7428717447121],[306.5904541015625 1160.4423828125 634.5881958007812 1255.7037353515625],0.7481787800788879,134BK801,None
85,1.0,[12.811094226163505 527.3706313965449 989.0644098352561 1363.681013684754],[306.0845031738281 1158.17724609375 635.5294189453125 1254.3629150390625],0.7615413069725037,434BK801,None
87,1.0,[13.03848799875783 527.3755370447839 989.7712550248714 1365.3752207766895],[305.86041259765625 1158.692138671875 635.8650512695312 1253.83154296875],0.7583774328231812,34BAK801,None
89,1.0,[13.272045123957867 526.8561658629321 990.0492491543932 1366.6866834938749],[304.682861328125 1156.2606201171875 636.8226928710938 1253.835693359375],0.762191653251648,34BAK8S1,None
90,1.0,[13.519742686700681 525.611611544494 989.933557129405 1366.6683655090385],[304.6987609863281 1156.7425537109375 636.2366333007812 1253.3009033203125],0.7608360052108765,34BAK801,None
91,1.0,[13.453627467406477 524.243469716198 989.4331566443964 1366.2793685285726],[304.9471435546875 1157.337890625 636.5527954101562 1253.1507568359375],0.7615752220153809,34BAK801,None
92,1.0,[13.786122670878342 523.0847874985168 989.459081389221 1366.2395206793778],[305.1208190917969 1157.0699462890625 636.4450073242188 1252.7509765625],0.7612144947052002,34BAK801,None
96,1.0,[14.224370913740358 524.9376339088778 989.3330916052615 1366.2573891386535],[306.5682678222656 1156.628662109375 636.0440063476562 1250.82177734375],0.7561405897140503,34BK801,None
97,1.0,[14.122430637003447 526.3189007320703 988.808608725132 1366.6646669131705],[306.15631103515625 1156.7554931640625 635.8493041992188 1251.2708740234375],0.756212055683136,34BAK801,None
98,1.0,[14.809068794265613 528.0788495257598 989.3585998166343 1366.8180665760476],[306.2350158691406 1156.560302734375 636.1250610351562 1250.8751220703125],0.7553146481513977,34BK801,None
99,1.0,[14.793177808891983 527.8484191621529 989.5789936940188 1367.0634879238105],[306.46112060546875 1156.580810546875 636.2305908203125 1250.666015625],0.75599604845047,34BK801,None
